Post,Name of author,Comment
https://vnexpress.net/slna-hagl-chu-nha-sa-sut-4593860.html,cuongtk.acc,Bao năm nay SLNA chỉ tồn tại và đá cho xong nhiệm vụ thôi. Cầu thủ trẻ hết hợp đồng là ra đi ngay.
,võ đức lành,Chiều nay SLNA thua HAGL ghế HLV Nguyễn Huy Hoàng sẽ bị cưa là chắc chắn.
,Hai sg,"SLNA là đội duy nhất tại V.league còn giữ được bản sắc của mình, từ tên gọi đến việc chưa một lần xuống hạng, nhưng sức mạnh thì đã không còn được như xưa."
https://vnexpress.net/phung-su-vo-tu-4593801.html,chien hoang,Lý thuyết là thế ! Thực tế là 1 câu chuyện khác nhé
,Don Qzx,"Công chức chỉ cần đọc hiểu các quy định của pháp luật chứ không cần trình độ thạc sĩ, tiến sĩ nhưng bắt buộc phải có tinh thần và thái độ phục vụ bởi vì việc của họ là làm theo quy định chứ không cần phải nghiên cứu, sáng tạo gì cả. Không biết đến bao giờ thì nước ta mới hiểu điều này và áp dụng triệt để trong tuyển dụng công chức."
,Dìgnity,Nhân lực ngang bằng về trình độ môi trường đào tạo từ các nước phát triển là chìa khoá duy nhất cạnh tranh với các nước trên TG.
,Đường Bạch Ngọc,"Giờ mới biết nước ta cho phép 2 quốc tịch,còn Đức thì ko cho công dân mình có 2 quốc tịch."
,Đường Bạch Ngọc,Để công chức vô tư phụng sự người dân thì lương công chức phải đủ sống ở mức trung bình khá của xã hội. Còn lương thuộc chuẩn nghèo thì khó lắm vì họ còn phải làm hai ba nghề để nuôi sống bản thân và gia đình nữa
,nguyencuong,"Mình vẫn không hiểu vấn đề là gì mà nhập cảnh VN cực kỳ khó khăn, trong khi an ninh xã hội mình có thể gọi là an toàn hạng top. Nhập cảnh vừa ngắn vừa khó khăn thì thôi đã mất vé sang tay các nước bên cạnh - họ canh tranh nhau dữ lắm, mình chỉ biết đứng nhìn thôi."
,Antony,"Ở Sài Gòn tùy ý vào 1 quán ăn giá trên 100k/món bạn sẽ dễ thấy sự phục vụ nhiệt tình và hài lòng của các nhân viên không bằng cấp đại học, so sánh với các nhân viên nhà nước lý do rút ra được là gì?"
https://vnexpress.net/goc-khuat-ban-cheo-bao-hiem-tai-ngan-hang-4591322.html,Nguyễn Văn Linh,Vì tiền làm khốn khổ bao nhiêu người.
,Nguyễn Văn Linh,"Tốt hơn hết BH là BH, NH là NH."
,Đình Quý,Mình vay ngân hàng và cũng phải cắn răng mua gói bh đi kèm 25tr/năm để được giải ngân nhanh.
,dtrangho,"Hãy sống và làm việc theo lương tâm. Lợi mình, lợi người và không ảnh hưởng đến xã hội, thiên nhiên."
,yenacc1406,"Vợ tôi cũng nghỉ việc ngân hàng vì không muốn tiếp tục phải dối lòng mà bán bảo hiểm cho khách hàng. Khách hàng rất dễ, chỉ cần dùng chiêu giải ngân nhanh, hạ % lãi suất là họ bấm bụng mua thôi, nhưng áy náy lắm mọi người ạ!"
,ledien43bds,Tôi cũng đi vay ngân hàng và bị ép mua bảo hiểm
,nguyenduybinh2505,"Tôi hoàn toàn đồng ý với tác giả. Tôi cũng từng bị bắt buộc mua bảo hiểm, nhân viên tư vấn bảo hiểm của ngân hàng không hề có trình độ chuyên môn về bảo hiểm, đưa ra bảng số liệu rất mập mờ về số tiền thu về sau từng năm, còn bảo hiểm nhân thọ trợ cấp y tế thì đa số liên kết với bệnh viện tư, quảng cáo thì nói là chi trả 100% nhưng thực tế nếu nằm viện thì lại mất thêm một số tiền rất lớn ngoài chi trả bảo hiểm."
,hoangcuong269,"Cách đây vài năm, khi đi gửi tiết kiệm ở ngân hàng, nhân viên NH đã giới thiệu với tôi: ""Chúng em đang có chương trình gửi tiết kiệm tặng bảo hiểm."" Tôi nghe thấy lấn cấn, làm gì có chuyện gửi TK tặng BH, đây chắc chắn là bán BH. Bán BH mà lại nói mập mờ như vậy chứng tỏ không đáng tin cậy. Vì thế tôi từ chối và đi về. May là sau này có gửi TK online nên tôi toàn mở sổ online, k phải gặp nhân viên NH nên đỡ phải nghe mời chào."
,phanlocmai.a,Tôi đề nghị cấm bán bảo hiểm qua ngân hàng .
,Nhung,"Bán Bảo Hiểm kiểu này cũng cần có chuyên môn và Đức giống như Thầy Thuốc vậy (phải Y Đức song toàn) thì người bệnh mới được tư vấn phương pháp điều trị, thuốc men.. 1 cách chuẩn xác và phù hợp cả về kinh tế nữa. Đây cứ nhăm nhăm chốt khách nhận tiền thì bảo sao không mang tiếng cả Ngành Bảo Hiểm và Người mua thì cứ bị hiểu nhầm"
https://vnexpress.net/ngoai-truong-my-khoi-cong-toa-dai-su-1-2-ty-usd-tai-viet-nam-4593802.html,quocquang_gl,Tuyệt vời
,patient216,Tuyệt vời
,daotoanauto,Chúc mừng quan hệ Việt - Mỹ ngày càng tốt đẹp
,Họ Tên,Quá tốt.
,nguyenduynamtuliem,Tôi rất nóng lòng chờ ngày khánh thành để chiêm ngưỡng công trình hơn 20 ngàn tỷ này!!!.
,Việt Nam,"Thật tuyệt vời, xin chúc mừng cho 2 nước!"
,phuongdungmit,Thật sự mong chờ
,dangdinhloi1983,Chúc quan hệ 2 nước phát triển mang lại lợi ích cho nhân dân cả hai nước.
,Nguyenvanvan,Quá tuyệt vời
,Chien Tran,Nâng quan hệ đối tác lên tầm cao mới...!
https://vnexpress.net/man-city-leicester-khong-duoc-say-chan-4593897.html,vungtaucodon,Đề nghị MC tập trung vào C1 kaka
,ilove2somuch,Anh em fan ManC xem trận banh nhớ kèm chai bia ủng hộ Leceiter nhé
